system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,BSI,NDBI,NDVI,NDWI,class,random,.geo
1_1_2_67_378,2940,2313,1642,2021,2042,2500,3468,3723,3906,3886,-0.053751186,-0.1411043,0.31338266,-0.3180361,2,0.6138844987388316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.5836515966095,31.446770532153696]}"
1_1_2_67_379,2736,2102,1588,1868,1816,2306,3508,3812,4028,3971,-0.10464201,-0.19101124,0.37850788,-0.36635005,2,0.21556113144010114,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58375680747186,31.44677169559693]}"
1_1_2_67_380,2736,2102,1361,1583,1608,2306,3508,3812,4240,3971,-0.12639518,-0.21559633,0.4500684,-0.456294,2,0.3494071748275933,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.5838620183403,31.44677285895379]}"
1_1_2_67_382,2777,2090,1226,1495,1588,2271,3440,3745,4042,3961,-0.09374027,-0.18551107,0.43587923,-0.4599964,2,0.6485646844396701,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58407244009548,31.446775185408406]}"
1_1_2_67_384,2758,2071,1157,1403,1468,2157,3155,3532,3648,3724,-0.0641125,-0.13893226,0.42611414,-0.44446644,2,0.3474227891207875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58428286187501,31.44677751151752]}"
1_1_2_67_385,2602,1938,1010,1347,1290,1959,3215,3524,3750,3789,-0.100323625,-0.18073048,0.48809522,-0.4714538,2,0.6241732664543014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58438807277393,31.446778674442527]}"
1_1_2_67_387,2592,2005,901,1232,1173,2034,3254,3658,3880,3684,-0.11888603,-0.19901113,0.53572136,-0.51799685,2,0.6034004498341115,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58459849459003,31.44678100003342]}"
1_1_2_67_388,2592,2005,951,1258,1195,2034,3254,3658,3874,3684,-0.120529495,-0.19826786,0.52850664,-0.5097428,2,0.33712523498439584,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.5847037055072,31.44678216269931]}"
1_1_2_67_389,2458,1936,1160,1482,1554,2057,2588,2877,3778,3057,-0.10346369,-0.21167415,0.41710427,-0.4365019,2,0.4550569982608972,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58480891643048,31.446783325278826]}"
1_1_2_67_390,2458,1936,1355,1579,1626,2057,2588,2877,2848,3057,-0.014359841,-0.0735017,0.27313367,-0.2866501,2,0.6140502908013601,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58491412735982,31.446784487771968]}"
1_1_2_67_391,2057,1772,1150,1326,1380,1524,1924,2193,1800,2091,0.07624863,0.0666321,0.13207547,-0.15163147,2,0.5473805992951116,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58501933829527,31.44678565017874]}"
1_1_2_67_392,2057,1772,1013,1231,1275,1524,1924,2193,1880,2091,0.070522085,0.04495809,0.19175911,-0.20861459,2,0.4175318104854221,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58512454923681,31.44678681249914]}"
1_1_2_67_394,2959,2287,1310,1614,1788,2588,3591,3851,4116,4071,-0.0667453,-0.16353357,0.39430895,-0.4366492,2,0.3011905400699951,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.5840737968258,31.446684987077248]}"
1_1_2_67_395,2848,2178,1152,1471,1554,2402,3464,3649,4012,3949,-0.07965712,-0.1696793,0.44160977,-0.46343243,2,0.08798766404405534,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58417900761181,31.446686150170905]}"
1_1_2_67_396,2848,2178,1119,1396,1494,2402,3464,3649,4040,3949,-0.08599095,-0.17305459,0.46006507,-0.48638704,2,0.11750565461394435,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.5842842184039,31.44668731317819]}"
1_1_2_67_398,2553,1921,1039,1308,1223,2047,3248,3604,3786,3926,-0.12196256,-0.19451018,0.511679,-0.48645467,2,0.4390087125750022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58449464000633,31.44668963893364]}"
1_1_2_67_401,2023,1748,1097,1373,1330,1639,1862,2094,2858,2401,-0.08237548,-0.1710715,0.36485195,-0.35098085,2,0.657723394040175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58481027245568,31.446693126919033]}"
